vtkOriginalIndices,Displacement:0,Displacement:1,Points:0,Points:1,Points:2,__vtkIsSelected__,arc_length,vtkValidPointMask
340,1.34124e-06,1.80875e-09,1,3.4,0,0,3.4,1
341,1.34449e-06,1.81586e-09,1,3.41,0,0,3.41,1
342,1.34775e-06,1.82297e-09,1,3.42,0,0,3.42,1
343,1.35101e-06,1.83007e-09,1,3.43,0,0,3.43,1
344,1.35426e-06,1.83718e-09,1,3.44,0,0,3.44,1
345,1.35752e-06,1.84429e-09,1,3.45,0,0,3.45,1
346,1.36078e-06,1.8514e-09,1,3.46,0,0,3.46,1
347,1.36403e-06,1.85851e-09,1,3.47,0,0,3.47,1
348,1.36729e-06,1.86562e-09,1,3.48,0,0,3.48,1
349,1.37055e-06,1.87273e-09,1,3.49,0,0,3.49,1
350,1.3738e-06,1.87984e-09,1,3.5,0,0,3.5,1
351,1.37706e-06,1.88696e-09,1,3.51,0,0,3.51,1
352,1.38032e-06,1.89407e-09,1,3.52,0,0,3.52,1
353,1.38358e-06,1.90118e-09,1,3.53,0,0,3.53,1
354,1.38683e-06,1.90829e-09,1,3.54,0,0,3.54,1
355,1.39009e-06,1.9154e-09,1,3.55,0,0,3.55,1
356,1.39335e-06,1.92251e-09,1,3.56,0,0,3.56,1
357,1.3966e-06,1.92962e-09,1,3.57,0,0,3.57,1
358,1.39986e-06,1.93673e-09,1,3.58,0,0,3.58,1
359,1.40312e-06,1.94384e-09,1,3.59,0,0,3.59,1
360,1.40637e-06,1.95096e-09,1,3.6,0,0,3.6,1
361,1.40963e-06,1.95807e-09,1,3.61,0,0,3.61,1
362,1.41289e-06,1.96518e-09,1,3.62,0,0,3.62,1
363,1.41614e-06,1.97229e-09,1,3.63,0,0,3.63,1
364,1.4194e-06,1.9794e-09,1,3.64,0,0,3.64,1
365,1.42266e-06,1.98652e-09,1,3.65,0,0,3.65,1
366,1.42591e-06,1.99363e-09,1,3.66,0,0,3.66,1
367,1.42917e-06,2.00074e-09,1,3.67,0,0,3.67,1
368,1.43243e-06,2.00785e-09,1,3.68,0,0,3.68,1
369,1.43568e-06,2.01497e-09,1,3.69,0,0,3.69,1
370,1.43894e-06,2.02208e-09,1,3.7,0,0,3.7,1
371,1.4422e-06,2.02919e-09,1,3.71,0,0,3.71,1
372,1.44546e-06,2.03631e-09,1,3.72,0,0,3.72,1
373,1.44871e-06,2.04342e-09,1,3.73,0,0,3.73,1
374,1.45197e-06,2.05053e-09,1,3.74,0,0,3.74,1
375,1.45523e-06,2.05765e-09,1,3.75,0,0,3.75,1
376,1.45848e-06,2.06476e-09,1,3.76,0,0,3.76,1
377,1.46174e-06,2.07187e-09,1,3.77,0,0,3.77,1
378,1.465e-06,2.07899e-09,1,3.78,0,0,3.78,1
379,1.46825e-06,2.0861e-09,1,3.79,0,0,3.79,1
380,1.47151e-06,2.09322e-09,1,3.8,0,0,3.8,1
381,1.47477e-06,2.10033e-09,1,3.81,0,0,3.81,1
382,1.47802e-06,2.10745e-09,1,3.82,0,0,3.82,1
383,1.48128e-06,2.11456e-09,1,3.83,0,0,3.83,1
384,1.48454e-06,2.12167e-09,1,3.84,0,0,3.84,1
385,1.48779e-06,2.12879e-09,1,3.85,0,0,3.85,1
386,1.49105e-06,2.1359e-09,1,3.86,0,0,3.86,1
387,1.49431e-06,2.14302e-09,1,3.87,0,0,3.87,1
388,1.49756e-06,2.15013e-09,1,3.88,0,0,3.88,1
389,1.50082e-06,2.15725e-09,1,3.89,0,0,3.89,1
390,1.50408e-06,2.16437e-09,1,3.9,0,0,3.9,1
391,1.50734e-06,2.17148e-09,1,3.91,0,0,3.91,1
392,1.51059e-06,2.1786e-09,1,3.92,0,0,3.92,1
393,1.51385e-06,2.18571e-09,1,3.93,0,0,3.93,1
394,1.51711e-06,2.19283e-09,1,3.94,0,0,3.94,1
